Data Figure 1.9: Series on share of education, health, public services in labour hours 1800-2100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet E2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI
1844;3%;5%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;5%;4%;3%;2%;5%;5%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;5%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1845;3%;5%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;5%;4%;3%;2%;5%;5%;4%;2%;3%;3%;2%;2%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;5%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1846;3%;5%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;5%;4%;3%;2%;5%;5%;4%;2%;3%;3%;2%;3%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;5%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1847;3%;5%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;5%;4%;3%;2%;5%;5%;4%;2%;3%;4%;2%;3%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;6%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1848;3%;5%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;5%;4%;3%;2%;5%;5%;4%;2%;3%;4%;2%;3%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;6%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1849;3%;5%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;6%;4%;3%;2%;5%;5%;4%;2%;3%;4%;2%;3%;1%;2%;3%;4%;6%;4%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;6%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1850;3%;5%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;6%;4%;3%;2%;5%;5%;4%;2%;3%;4%;2%;3%;1%;2%;3%;4%;6%;5%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;6%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1851;3%;5%;5%;2%;2%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;6%;4%;3%;2%;5%;5%;4%;2%;3%;4%;2%;3%;1%;2%;3%;4%;6%;5%;4%;2%;7%;2%;5%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;6%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1852;3%;5%;5%;2%;3%;1%;5%;1%;1%;3%;3%;2%;3%;3%;2%;4%;6%;4%;3%;2%;5%;5%;4%;2%;3%;4%;2%;3%;1%;2%;3%;4%;6%;5%;4%;2%;7%;2%;6%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;6%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
1853;3%;5%;5%;2%;3%;1%;6%;1%;1%;3%;3%;2%;3%;3%;2%;4%;6%;4%;3%;2%;6%;5%;4%;2%;3%;4%;2%;3%;1%;2%;3%;4%;6%;5%;4%;2%;7%;2%;6%;4%;1%;0%;1%;1%;1%;1%;0%;2%;1%;1%;5%;6%;1%;3%;1%;2%;2%;1%;1%;1%;0%;2%;1%;1%;0%;2%
