Data Figure 2.6: Data series on average health expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
2013;1 024;3 015;6 753;1 238;558;111;1 140;731;232;3 605;4 302;2 537;4 055;3 324;3 287;4 558;4 680;3 389;3 606;1 353;7 397;4 880;4 724;2 611;195;2 300;1 624;1 745;1 540;971;626;728;496;579;309;330;1 889;754;452;7;81;27;81;22;36;82;41;48;933;69;1 525;742;448;3 105;2 090;1 369;832;62;259;211;90;71;221;463;267;391;
2014;1 043;3 077;6 900;1 250;620;111;1 081;764;228;3 647;4 342;2 613;4 122;3 476;3 279;4 622;5 077;3 471;3 611;1 391;7 599;4 868;4 542;2 647;200;2 179;1 594;1 839;1 916;938;655;796;576;580;430;343;2 323;764;472;8;77;41;98;24;35;82;42;46;928;68;1 518;631;483;3 127;2 225;1 451;740;66;252;183;99;72;202;480;290;418;
2015;1 078;3 129;7 146;1 293;700;115;1 096;803;235;3 663;4 421;2 711;4 069;3 517;3 336;4 991;5 398;3 543;3 602;1 466;7 872;5 064;4 705;2 673;185;2 334;1 610;1 986;1 963;994;683;922;679;557;565;319;2 939;755;542;10;81;42;104;26;28;105;45;47;920;67;1 563;615;531;3 094;2 269;1 510;788;71;256;176;125;88;233;486;317;441;
2016;1 109;3 168;7 324;1 270;742;112;1 155;837;275;3 734;4 560;2 732;4 132;3 576;3 325;4 640;5 974;3 604;3 638;1 501;8 065;5 209;4 932;2 667;196;2 349;1 553;1 962;1 910;980;687;1 157;656;570;632;342;2 876;804;602;9;83;39;111;35;33;92;48;50;893;69;1 605;697;570;3 041;2 407;1 600;719;88;297;286;144;92;257;490;344;466;
2017;1 117;3 215;7 374;1 311;734;111;1 034;893;259;3 747;4 568;2 787;4 215;3 561;3 381;4 864;5 800;3 656;3 701;1 553;8 151;5 188;4 772;2 609;195;2 428;1 637;2 015;1 968;963;703;1 181;634;642;625;347;2 695;842;568;6;92;30;84;34;46;109;47;44;900;69;1 388;677;626;3 098;2 542;1 605;761;95;262;257;197;110;273;502;375;466;
2018;1 136;3 300;7 447;1 318;682;109;992;959;266;3 856;4 690;2 884;4 237;3 665;3 423;4 895;5 540;3 781;3 820;1 649;8 260;5 133;4 689;2 710;198;2 189;1 700;2 126;1 934;961;709;1 169;592;559;575;353;2 424;802;546;8;94;27;89;32;48;96;54;34;935;67;1 355;629;686;3 164;2 792;1 645;854;101;270;268;58;111;312;541;394;479;
2019;1 165;3 411;7 585;1 320;670;110;1 096;1 016;276;4 001;4 789;2 967;4 286;3 814;3 422;5 082;6 006;3 729;3 969;1 771;8 431;5 196;4 653;2 872;188;2 019;1 674;2 236;2 149;954;723;1 348;564;543;448;358;2 375;829;569;8;98;29;109;47;50;79;63;35;956;70;1 514;678;731;3 240;3 209;1 742;865;103;272;291;158;110;350;542;414;505;
2020;1 256;3 644;8 367;1 416;765;110;1 251;1 094;276;4 424;4 945;3 243;4 346;4 201;3 511;5 337;6 511;3 753;4 169;1 953;9 357;5 530;4 885;3 013;199;1 928;2 000;2 050;2 328;960;707;2 147;593;523;424;377;3 050;954;653;11;116;36;110;54;54;89;69;22;869;72;1 724;780;794;3 402;3 334;2 302;882;105;251;341;164;118;365;645;369;553;
2021;1 279;3 873;8 259;1 515;730;109;1 098;1 154;301;4 694;5 252;3 315;4 779;4 355;3 730;5 571;5 229;3 935;4 523;2 157;9 255;5 294;4 959;3 426;184;2 077;2 074;2 355;2 504;1 019;784;1 793;514;625;458;385;2 575;992;564;10;98;38;112;39;50;111;70;16;847;67;1 456;744;829;3 736;3 521;2 286;955;105;287;360;161;105;400;826;405;510;
2022;1 247;3 789;7 865;1 478;674;119;1 040;1 194;296;4 728;4 530;3 251;4 895;4 332;3 796;4 971;3 605;3 864;4 365;2 040;8 827;4 924;4 666;3 915;191;2 047;1 982;2 586;2 334;1 019;785;1 451;495;645;449;430;2 160;927;512;15;111;47;115;41;49;131;72;31;934;68;1 399;687;857;3 916;3 916;2 198;921;114;303;263;153;121;412;867;384;431;
2023;1 259;3 665;8 021;1 526;729;113;1 123;1 205;306;3 916;4 449;3 239;4 797;4 252;3 622;4 980;4 227;3 999;4 401;2 104;9 034;4 901;4 618;3 824;187;2 011;2 134;2 503;2 459;1 007;782;1 447;591;655;471;422;2 379;1 139;508;15;109;44;110;41;34;117;69;11;938;64;1 489;756;858;3 949;4 107;2 254;957;115;321;262;162;106;402;767;437;464;
2024;1 281;3 705;8 171;1 547;734;113;1 176;1 251;320;3 905;4 614;3 345;4 839;4 270;3 656;4 997;4 235;4 023;4 450;2 153;9 231;4 911;4 622;3 779;194;1 967;2 191;2 547;2 476;1 012;797;1 474;596;659;485;436;2 373;1 176;495;15;113;46;112;42;36;119;75;9;929;65;1 561;799;906;3 963;4 188;2 364;998;118;338;273;160;107;421;788;467;484;
2025;1 304;3 771;8 301;1 555;747;113;1 186;1 307;332;3 961;4 706;3 416;4 882;4 296;3 701;5 054;4 202;4 086;4 557;2 236;9 395;4 922;4 669;3 855;195;1 957;2 194;2 568;2 512;1 017;807;1 490;600;680;495;447;2 381;1 234;490;16;117;48;115;42;37;119;79;8;925;66;1 587;803;963;3 994;4 279;2 450;1 005;125;353;283;164;109;437;805;496;494;
2026;1 387;4 101;7 976;1 659;861;144;1 325;1 444;409;4 317;5 191;3 720;5 226;4 624;4 030;5 500;4 811;4 454;4 908;2 493;8 933;5 117;4 840;4 018;230;2 109;2 291;2 678;2 631;1 130;886;1 742;681;802;582;517;2 561;1 433;564;27;165;73;157;61;52;161;106;15;1 035;93;1 760;914;1 085;4 234;4 520;2 745;1 109;190;424;377;216;157;519;934;599;596;
2027;1 470;4 303;7 974;1 739;967;188;1 448;1 563;486;4 535;5 505;3 905;5 405;4 806;4 233;5 766;5 250;4 679;5 096;2 676;8 906;5 240;4 941;4 123;263;2 237;2 358;2 750;2 716;1 229;956;1 973;757;920;666;586;2 697;1 618;635;45;222;109;211;90;76;214;145;27;1 155;131;1 909;1 020;1 194;4 418;4 700;2 998;1 199;260;495;477;275;210;601;1 056;701;696;
2028;1 557;4 465;7 974;1 822;1 077;241;1 576;1 683;570;4 708;5 770;4 054;5 534;4 945;4 397;5 980;5 643;4 860;5 234;2 837;8 879;5 367;5 042;4 228;298;2 371;2 426;2 824;2 805;1 333;1 029;2 205;839;1 042;756;660;2 825;1 805;710;69;290;153;276;126;107;277;193;45;1 285;177;2 058;1 133;1 304;4 605;4 884;3 246;1 291;338;573;588;343;272;689;1 182;810;802;
2029;1 646;4 618;7 959;1 904;1 188;303;1 705;1 802;661;4 871;6 028;4 195;5 649;5 074;4 552;6 186;6 044;5 030;5 358;2 996;8 835;5 486;5 132;4 324;335;2 506;2 493;2 892;2 892;1 437;1 103;2 434;924;1 167;849;737;2 941;1 992;787;101;367;207;353;171;146;350;250;71;1 424;233;2 203;1 251;1 413;4 787;5 061;3 484;1 382;424;657;708;423;342;782;1 312;924;912;
2030;1 739;4 766;7 995;1 988;1 301;356;1 835;1 919;759;5 027;6 286;4 331;5 757;5 197;4 701;6 390;6 459;5 193;5 474;3 153;8 858;5 603;5 216;4 415;374;2 644;2 559;2 958;2 980;1 544;1 179;2 663;1 013;1 295;948;819;3 047;2 180;869;127;444;256;420;210;179;414;298;94;1 543;282;2 346;1 376;1 521;4 966;5 236;3 713;1 473;519;747;840;514;422;882;1 445;1 043;1 026;
2031;1 834;4 937;8 070;2 084;1 422;416;1 979;2 048;853;5 204;6 579;4 487;5 888;5 345;4 871;6 629;6 927;5 379;5 612;3 329;8 925;5 749;5 324;4 527;416;2 802;2 639;3 039;3 087;1 661;1 265;2 907;1 113;1 433;1 057;911;3 161;2 381;959;159;533;313;498;257;218;487;354;122;1 676;339;2 499;1 517;1 638;5 172;5 438;3 955;1 574;615;834;959;590;498;982;1 578;1 152;1 133;
2032;1 933;5 150;8 129;2 180;1 545;482;2 124;2 173;950;5 427;6 942;4 683;6 067;5 538;5 083;6 933;7 490;5 611;5 798;3 537;8 973;5 885;5 420;4 628;460;2 960;2 716;3 114;3 191;1 779;1 351;3 149;1 217;1 573;1 171;1 008;3 261;2 580;1 053;194;631;377;583;310;262;565;415;157;1 813;403;2 648;1 663;1 753;5 371;5 633;4 186;1 673;715;925;1 083;671;580;1 085;1 712;1 262;1 240;
