Data Figure 1.15: Total World GDP and GNE (Trillions Euros PPP 2025);;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Planet Paper: Chanceletal2026Appendix_MacroScenarios.xlsx Sheet R0;;;;;;;;;;;;;;;;;;;;;;;
;Gross Domestic Product;;;;;Gross National Expenditure;;;;;;Share of material sectors in GNE;;;;Share of manufacturing in GNE;;;;Share of energy in GNE;;;
Year;PI2;PC1;SC2;PC1/PI2;SC2/PI2;PI2;PC1;SC2;PI2/PI2;PC1/PI2;SC2/PI2;PI2;PC1;SC2;SC2/PI2;PI2;PC1;SC2;SC2/PI2;PI2;PC1;SC2;SC2/PI2
2038;224,4;214,3;180,5;95;80;225,0;216,5;183,2;100;96;81;53%;53%;50%;78;15%;15%;14%;79;3%;3%;3%;77
2039;233,0;222,7;185,1;96;79;233,7;225,1;188,0;100;96;80;53%;53%;50%;77;15%;15%;14%;78;3%;3%;3%;75
2040;241,9;231,6;190,0;96;79;242,7;234,2;193,1;100;96;80;53%;53%;50%;76;15%;15%;14%;77;3%;3%;3%;74
2041;251,2;241,1;195,1;96;78;252,1;243,8;198,5;100;97;79;53%;53%;50%;75;15%;15%;14%;76;3%;3%;3%;73
2042;260,9;251,2;200,5;96;77;261,9;254,0;204,2;100;97;78;53%;53%;50%;74;15%;15%;14%;75;3%;3%;3%;72
2043;271,0;261,9;206,3;97;76;272,1;264,9;210,3;100;97;77;53%;53%;49%;73;15%;15%;14%;75;3%;3%;3%;70
2044;281,5;273,3;212,5;97;75;282,6;276,5;216,7;100;98;77;53%;53%;49%;72;15%;15%;14%;74;3%;3%;3%;69
2045;292,4;285,5;219,0;98;75;293,7;288,8;223,6;100;98;76;53%;53%;49%;71;15%;15%;14%;74;3%;3%;3%;68
2046;303,7;298,5;226,0;98;74;305,1;301,9;230,8;100;99;76;53%;53%;49%;71;15%;15%;14%;74;3%;3%;3%;67
2047;315,5;312,4;233,3;99;74;317,0;315,8;238,5;100;100;75;53%;53%;49%;70;15%;15%;14%;73;3%;3%;3%;67
2048;327,8;327,2;241,2;100;74;329,4;330,6;246,6;100;100;75;53%;53%;49%;70;15%;15%;14%;73;3%;3%;3%;66
2049;340,5;343,0;249,6;101;73;342,3;346,5;255,3;100;101;75;53%;53%;49%;69;15%;15%;15%;73;3%;3%;3%;65
2050;353,8;360,0;258,5;102;73;355,7;363,4;264,5;100;102;74;53%;53%;49%;69;15%;15%;15%;73;3%;3%;3%;64
2051;362,7;369,4;263,8;102;73;364,8;372,7;269,6;100;102;74;53%;53%;48%;68;15%;15%;15%;72;3%;3%;3%;64
2052;371,8;379,1;269,1;102;72;373,9;382,3;274,8;100;102;73;53%;53%;48%;67;15%;15%;14%;72;3%;3%;3%;63
2053;381,1;389,1;274,6;102;72;383,3;392,1;280,1;100;102;73;53%;53%;48%;67;15%;15%;14%;71;3%;3%;3%;63
2054;390,6;399,2;280,1;102;72;392,8;402,2;285,4;100;102;73;53%;53%;48%;66;15%;15%;14%;70;3%;3%;3%;62
2055;400,2;409,7;285,6;102;71;402,6;412,5;290,8;100;102;72;53%;53%;47%;65;15%;15%;14%;69;3%;3%;3%;62
2056;410,0;420,4;291,3;103;71;412,5;423,1;296,3;100;103;72;53%;53%;47%;65;15%;15%;14%;68;3%;3%;3%;61
2057;420,1;431,3;297,0;103;71;422,6;434,0;301,9;100;103;71;53%;53%;47%;64;15%;15%;14%;67;3%;3%;3%;61
2058;430,3;442,6;302,9;103;70;432,9;445,2;307,5;100;103;71;53%;53%;47%;63;15%;15%;14%;66;3%;3%;3%;60
2059;440,7;454,2;308,8;103;70;443,4;456,7;313,3;100;103;71;53%;53%;46%;63;15%;15%;14%;65;3%;3%;3%;60
2060;451,4;466,2;314,7;103;70;454,1;468,5;319,1;100;103;70;53%;53%;46%;62;15%;15%;14%;64;3%;3%;3%;59
2061;462,3;478,4;320,8;103;69;465,0;480,7;325,0;100;103;70;53%;53%;46%;61;15%;15%;13%;63;3%;3%;3%;59
2062;473,4;491,1;327,0;104;69;476,2;493,3;331,1;100;104;70;53%;53%;46%;61;15%;15%;13%;62;3%;3%;3%;59
2063;484,8;504,1;333,3;104;69;487,7;506,2;337,2;100;104;69;53%;53%;46%;60;15%;15%;13%;62;3%;3%;3%;58
2064;496,4;517,5;339,7;104;68;499,4;519,6;343,4;100;104;69;53%;53%;45%;59;15%;15%;13%;61;3%;3%;3%;58
2065;508,3;531,3;346,2;105;68;511,3;533,3;349,8;100;104;68;53%;53%;45%;59;15%;15%;13%;60;3%;3%;3%;57
2066;520,5;545,6;352,8;105;68;523,5;547,6;356,2;100;105;68;53%;53%;45%;58;15%;15%;13%;59;3%;3%;3%;57
2067;533,0;560,3;359,6;105;67;536,0;562,2;362,8;100;105;68;53%;53%;45%;57;15%;15%;13%;58;3%;3%;3%;56
2068;545,7;575,5;366,4;105;67;548,8;577,4;369,5;100;105;67;53%;53%;44%;57;15%;15%;13%;57;3%;3%;3%;56
2069;558,7;591,1;373,4;106;67;561,9;593,1;376,4;100;106;67;53%;53%;44%;56;15%;15%;12%;57;3%;3%;3%;56
2070;572,1;607,3;380,4;106;67;575,2;609,2;383,3;100;106;67;53%;53%;44%;56;15%;15%;12%;56;3%;3%;3%;55
2071;585,7;624,0;387,6;107;66;588,9;625,9;390,4;100;106;66;53%;53%;44%;55;15%;15%;12%;55;3%;3%;3%;55
2072;599,6;641,3;395,0;107;66;602,8;643,2;397,5;100;107;66;53%;53%;43%;54;15%;15%;12%;54;3%;3%;3%;54
2073;613,9;659,2;402,4;107;66;617,1;661,0;404,8;100;107;66;53%;53%;43%;54;15%;15%;12%;53;3%;3%;3%;54
2074;628,4;677,6;409,9;108;65;631,6;679,5;412,3;100;108;65;53%;53%;43%;53;15%;15%;12%;53;3%;3%;3%;53
2075;643,2;696,7;417,6;108;65;646,5;698,6;419,8;100;108;65;53%;53%;43%;53;15%;15%;12%;52;3%;3%;3%;53
2076;658,4;716,4;425,4;109;65;661,6;718,3;427,5;100;109;65;53%;53%;42%;52;15%;15%;12%;51;3%;3%;3%;53
2077;673,9;736,7;433,3;109;64;677,1;738,7;435,3;100;109;64;53%;53%;42%;52;15%;15%;12%;50;3%;3%;3%;52
2078;689,7;757,8;441,4;110;64;692,8;759,8;443,2;100;110;64;53%;53%;42%;51;15%;15%;11%;49;3%;3%;3%;52
2079;705,8;779,6;449,5;110;64;708,9;781,6;451,3;100;110;64;53%;53%;42%;51;15%;15%;11%;49;3%;3%;3%;51
2080;722,3;802,2;457,8;111;63;725,3;804,3;459,4;100;111;63;53%;53%;41%;50;15%;15%;11%;48;3%;3%;3%;51
2081;735,4;815,8;462,8;111;63;738,4;817,7;464,3;100;111;63;53%;53%;41%;49;15%;15%;11%;47;3%;3%;3%;50
2082;748,7;829,6;467,8;111;62;751,6;831,4;469,2;100;111;62;53%;53%;41%;48;15%;15%;11%;47;3%;3%;3%;50
2083;762,2;843,7;472,8;111;62;765,0;845,3;474,1;100;110;62;53%;53%;40%;48;15%;15%;11%;46;3%;3%;3%;49
2084;775,9;858,0;477,9;111;62;778,6;859,5;479,0;100;110;62;53%;53%;40%;47;15%;15%;11%;45;3%;3%;3%;49
2085;789,8;872,6;483,0;110;61;792,3;873,9;484,0;100;110;61;53%;53%;40%;46;15%;15%;11%;44;3%;3%;3%;48
2086;803,8;887,4;488,2;110;61;806,2;888,6;489,1;100;110;61;53%;53%;39%;46;15%;15%;11%;44;3%;3%;3%;48
2087;818,0;902,5;493,4;110;60;820,3;903,6;494,2;100;110;60;53%;53%;39%;45;15%;15%;11%;43;3%;3%;3%;47
2088;832,5;917,9;498,6;110;60;834,6;918,9;499,3;100;110;60;53%;53%;39%;44;15%;15%;10%;42;3%;3%;3%;47
2089;847,2;933,6;503,8;110;59;849,1;934,5;504,4;100;110;59;53%;53%;38%;44;15%;15%;10%;42;3%;3%;3%;46
2090;862,1;949,6;509,1;110;59;863,8;950,4;509,7;100;110;59;53%;53%;38%;43;15%;15%;10%;41;3%;3%;3%;46
2091;877,2;966,0;514,5;110;59;878,8;966,6;514,9;100;110;59;53%;53%;38%;42;15%;15%;10%;41;3%;3%;3%;45
2092;892,5;982,6;519,9;110;58;893,9;983,2;520,2;100;110;58;53%;53%;37%;42;15%;15%;10%;40;3%;3%;3%;45
2093;908,1;999,7;525,3;110;58;909,2;1 000,1;525,6;100;110;58;53%;53%;37%;41;15%;15%;10%;39;3%;3%;2%;44
2094;923,8;1 017,0;530,8;110;57;924,8;1 017,4;531,0;100;110;57;53%;53%;37%;40;15%;15%;10%;39;3%;3%;2%;44
2095;939,8;1 034,8;536,3;110;57;940,5;1 035,1;536,5;100;110;57;53%;53%;36%;40;15%;15%;10%;38;3%;3%;2%;43
2096;956,0;1 052,9;541,9;110;57;956,5;1 053,1;542,1;100;110;57;53%;53%;36%;39;15%;15%;10%;38;3%;3%;2%;43
2097;972,5;1 071,4;547,5;110;56;972,6;1 071,6;547,6;100;110;56;53%;53%;36%;38;15%;15%;10%;37;3%;3%;2%;43
2098;989,1;1 090,4;553,2;110;56;989,0;1 090,5;553,3;100;110;56;53%;53%;35%;38;15%;15%;10%;37;3%;3%;2%;42
2099;1 006,0;1 109,7;559,0;110;56;1 005,6;1 109,8;559,0;100;110;56;53%;53%;35%;37;15%;15%;10%;36;3%;3%;2%;42
2100;1 023,1;1 129,5;564,8;110;55;1 022,4;1 129,5;564,8;100;110;55;53%;53%;35%;37;15%;15%;10%;36;3%;3%;2%;41
;;;;;;;;;;;;;;;;;;;;;;;
1970-2025;3,3%;3,3%;3,3%;;;3,2%;3,2%;3,2%;;;;;;;;;;;;;;;
2025-2100;2,7%;2,8%;1,9%;;;2,7%;2,8%;1,9%;;;;;;;;;;;;;;;
2025-2050;3,8%;3,9%;2,5%;;;3,8%;3,9%;2,6%;;;;;;;;;;;;;;;
2050-2080;2,4%;2,7%;1,9%;;;2,4%;2,7%;1,9%;;;;;;;;;;;;;;;
2080-2100;1,8%;1,7%;1,1%;;;1,7%;1,7%;1,0%;;;;;;;;;;;;;;;
