Data Figure 2.15a: Data series on regional composition of  personal wealth  (World Bottom 50%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixDistribution.xlsx sheet K6b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/North Africa;Subsaharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE   ;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;4,7%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,6%;0,1%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;4,7%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,6%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,2%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;4,6%;0,5%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,5%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;4,5%;0,4%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,5%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;4,5%;0,4%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,4%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;4,5%;0,4%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,4%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;4,5%;0,4%;0,1%;0,1%;0,2%;0,4%;0,2%;1,7%;1,4%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;4,5%;0,4%;0,1%;0,1%;0,2%;0,3%;0,2%;1,7%;1,4%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;4,5%;0,4%;0,1%;0,1%;0,2%;0,3%;0,2%;1,8%;1,4%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,1%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;4,5%;0,4%;0,1%;0,1%;0,2%;0,3%;0,2%;1,8%;1,4%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;4,5%;0,4%;0,1%;0,1%;0,2%;0,3%;0,2%;1,7%;1,4%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;4,4%;0,4%;0,1%;0,1%;0,2%;0,3%;0,2%;1,7%;1,4%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;4,4%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,7%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,2%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;4,3%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,7%;1,3%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,6%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;4,3%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,7%;1,3%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,2%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;4,3%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,7%;1,3%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;4,2%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,6%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;4,2%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,6%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;4,2%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,6%;1,3%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;4,1%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,6%;1,3%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;1,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;4,0%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,6%;1,3%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;4,0%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,6%;1,3%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;4,0%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,6%;1,3%;0,0%;0,0%;0,0%;0,1%;0,0%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;4,0%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,6%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;4,0%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,5%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;4,0%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,5%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;4,0%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,5%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;3,9%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,5%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;4,0%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,5%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;3,9%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,5%;1,3%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,4%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;3,9%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,4%;1,2%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;3,8%;0,4%;0,1%;0,1%;0,1%;0,3%;0,2%;1,4%;1,2%;0,0%;0,0%;0,0%;0,1%;0,1%;;-0,0%;-0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;-0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;-0,0%;0,1%;0,1%;0,1%;1,3%;0,1%;0,0%;0,0%;0,0%;0,1%;0,9%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
