Data Figure 2.5: Data series on average education expenditures (public + private) per capital (2025 Euro PPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sheet extracted from Platform Paper: Botheetal2026AppendixMacro.xlsx Sheet G3b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;Europe;North America/ Oceania;Latin America;Middle East/ North Africa;Sub-Saharan Africa;Russia/ Central Asia;East Asia;South & South-East Asia;DE;DK;ES;FR;GB;IT;NL;NO;SE;OC;QM;US;CA;AU;NZ;OH;AR;BR;CL;CO;MX;OD;AE;DZ;EG;IR;MA;SA;TR;OE;CD;CI;ET;KE;ML;NE;NG;RW;SD;ZA;OJ;RU;OA;CN;JP;KR;TW;OB;BD;IN;ID;MM;PK;PH;TH;VN;OI;
2015;813;1 932;3 985;1 016;849;223;790;684;319;1 956;3 255;1 593;2 385;2 822;1 611;2 766;3 111;3 141;2 212;1 043;4 302;2 543;3 943;2 576;210;1 679;1 036;1 575;832;1 138;758;2 070;846;472;261;370;4 824;939;714;40;219;103;290;97;104;325;167;13;888;177;998;578;526;1 667;2 122;1 447;683;350;284;447;179;251;192;581;359;500;
2016;823;1 946;4 009;988;883;217;803;708;333;1 976;3 286;1 620;2 406;2 853;1 580;2 710;3 420;3 257;2 215;1 046;4 339;2 662;3 711;2 533;212;1 541;969;1 781;988;1 111;729;2 332;797;493;334;387;4 676;958;756;41;253;107;304;79;70;307;166;12;878;172;1 009;594;557;1 626;2 080;1 528;714;429;305;425;187;236;234;504;383;502;
2017;823;1 973;4 022;959;847;217;810;731;329;2 006;3 161;1 624;2 456;2 892;1 611;2 702;3 358;3 375;2 214;1 076;4 336;2 700;3 941;2 488;214;1 575;997;1 805;864;955;723;2 291;678;528;367;374;4 249;999;705;24;252;121;311;100;61;307;143;15;903;172;1 011;609;583;1 620;2 132;1 609;727;356;311;389;193;209;327;503;394;506;
2018;836;2 030;4 016;974;804;224;782;765;347;2 072;3 256;1 667;2 463;2 899;1 705;2 723;3 204;3 504;2 249;1 174;4 329;2 782;3 864;2 448;211;1 350;1 007;1 912;878;1 024;752;2 249;640;523;361;402;3 821;965;672;31;229;117;333;98;86;315;152;20;966;176;978;588;616;1 637;2 230;1 588;818;367;332;436;78;237;332;491;397;511;
2019;854;2 100;4 057;961;790;223;872;801;361;2 167;3 267;1 707;2 487;3 013;1 668;2 799;3 395;3 515;2 322;1 283;4 366;2 745;4 067;2 562;216;1 209;982;1 888;869;1 053;753;2 457;634;523;327;415;3 594;937;679;38;255;107;330;100;91;326;171;23;899;177;1 085;661;647;1 665;2 443;1 669;772;382;350;458;183;224;329;475;394;511;
2020;856;2 085;4 028;874;883;211;953;821;367;2 192;3 143;1 768;2 409;2 859;1 643;2 814;3 589;3 463;2 359;1 279;4 353;2 776;3 804;2 556;189;1 152;925;1 602;842;876;693;3 042;742;528;353;484;4 460;904;753;45;289;99;295;106;96;286;169;12;821;178;1 189;714;677;1 664;2 323;1 741;737;412;352;465;205;208;308;520;425;535;
2021;849;2 145;4 092;881;770;206;860;825;366;2 239;3 132;1 875;2 482;3 033;1 724;2 831;2 716;3 456;2 386;1 324;4 461;2 563;3 841;2 521;181;1 121;950;1 607;786;909;687;2 726;647;557;319;466;3 370;843;633;43;268;98;275;114;93;295;295;10;784;172;1 031;690;675;1 642;2 538;1 939;696;455;350;456;210;177;353;540;428;493;
2022;846;2 154;3 987;917;712;217;807;844;371;2 318;2 765;1 856;2 548;2 975;1 842;2 833;1 881;3 441;2 389;1 337;4 368;2 327;3 709;2 621;201;1 196;1 013;1 760;697;956;699;2 207;623;575;286;491;2 838;852;573;60;309;97;281;110;111;349;273;18;782;169;991;630;693;1 702;2 611;1 891;637;523;373;404;201;203;340;486;437;414;
2023;859;2 173;4 002;941;773;207;871;841;389;2 258;2 847;1 849;2 497;3 061;1 830;2 838;2 205;3 377;2 425;1 388;4 385;2 378;3 671;2 560;197;1 175;1 091;1 783;692;944;708;2 200;744;586;300;482;3 126;1 046;578;59;305;90;269;111;78;313;252;7;823;163;1 054;691;695;1 716;2 373;1 914;658;568;398;402;212;177;333;488;497;429;
2024;878;2 198;4 076;953;777;208;913;878;408;2 252;2 953;1 910;2 519;3 073;1 847;2 848;2 209;3 397;2 452;1 420;4 480;2 383;3 674;2 530;204;1 149;1 120;1 814;697;949;722;2 241;750;589;310;498;3 117;1 081;563;61;314;95;275;112;82;318;274;5;815;166;1 105;730;734;1 723;2 420;2 007;687;585;419;419;209;179;348;501;532;447;
